Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.95826960278824,2.3282450102739376;"{""coordinates"": [2.328245010273938, 48.95826960278824], ""type"": ""Point""}";259.0;Épinay-Villetaneuse;Épinay-Villetaneuse;;;65227.0;Épinay - Villetaneuse;43078.0;Épinay - Villetaneuse;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;650807.5961000025;6873355.213199999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Épinay-Villetaneuse
49.049647004325,2.034294460484787;"{""coordinates"": [2.034294460484787, 49.049647004325], ""type"": ""Point""}";131.0;Cergy-Saint-Christophe;Cergy-Saint-Christophe;;;66858.0;Cergy Saint-Christophe;47897.0;Cergy Saint-Christophe;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;SNCF;1.0;0.0;629406.8795000017;6883739.7414;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Cergy-Saint-Christophe
49.049647004325,2.034294460484787;"{""coordinates"": [2.034294460484787, 49.049647004325], ""type"": ""Point""}";132.0;Cergy-Saint-Christophe;Cergy-Saint-Christophe;;;66858.0;Cergy Saint-Christophe;47897.0;Cergy Saint-Christophe;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A02176;C01740;TRAIN L;L;TRAIN L;SNCF;1.0;0.0;629406.8795000017;6883739.7414;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270;Cergy-Saint-Christophe
48.80698507072532,2.510307237115641;"{""coordinates"": [2.510307237115641, 48.80698507072532], ""type"": ""Point""}";142.0;Champigny;Champigny;;;73042.0;Champigny;58270.0;Champigny;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;RATP;1.0;0.0;664035.4267999977;6856434.997699998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Champigny
48.48707639343738,2.6950373192328034;"{""coordinates"": [2.695037319232803, 48.48707639343738], ""type"": ""Point""}";158.0;Chartrettes;Chartrettes;;;61763.0;Chartrettes;43107.0;Chartrettes;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01845;C01731;TRAIN R;R;TRAIN R;SNCF;1.0;0.0;677465.1366000026;6820801.1625000015;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/4ddabed87b80181debb386c00af5d5bb;Chartrettes
48.86182227367587,2.3470126872162136;"{""coordinates"": [2.347012687216214, 48.86182227367587], ""type"": ""Point""}";163.0;Châtelet-Les Halles;Châtelet-Les Halles;;;474151.0;Châtelet les Halles;45102.0;Châtelet les Halles;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;RATP;1.0;1.0;652093.2251000032;6862619.066799998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Châtelet-Les Halles
48.86182227367587,2.3470126872162136;"{""coordinates"": [2.347012687216214, 48.86182227367587], ""type"": ""Point""}";170.0;Châtelet-Les Halles;Châtelet-Les Halles;;;474151.0;Châtelet les Halles;45102.0;Châtelet les Halles;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;RATP;1.0;1.0;652093.2251000032;6862619.066799998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Châtelet-Les Halles
48.7479419009659,2.3127110135157984;"{""coordinates"": [2.312711013515798, 48.7479419009659], ""type"": ""Point""}";179.0;Chemin d'Antony;Chemin d'Antony;;;69682.0;Chemin d'Antony;46035.0;Chemin d'Antony;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;649466.514200002;6849978.556600001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Chemin d'Antony
48.877157837882685,2.5528816497885525;"{""coordinates"": [2.552881649788552, 48.877157837882685], ""type"": ""Point""}";181.0;Le Chénay-Gagny;Le Chénay-Gagny;;;73266.0;Le Chénay Gagny;43127.0;Le Chénay Gagny;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01843;C01729;RER E;E;RER E;SNCF;1.0;0.0;667206.3725000024;6864219.084899999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/528f29b53fa23aaf2d4c4f0b14c0bf87;Le Chénay-Gagny
48.814239444580814,2.2744896721778822;"{""coordinates"": [2.274489672177882, 48.814239444580814], ""type"": ""Point""}";190.0;Clamart;Clamart;;;70505.0;Clamart;43111.0;Clamart;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01847;C01736;TRAIN N;N;TRAIN N;SNCF;1.0;0.0;646724.0640999973;6857374.848099999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8;Clamart
48.6134279126674,2.4729336491022966;"{""coordinates"": [2.472933649102297, 48.6134279126674], ""type"": ""Point""}";207.0;Corbeil-Essonnes;Corbeil-Essonnes;;;60309.0;Corbeil-Essonnes;43115.0;Corbeil-Essonnes;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;1.0;661146.9909000024;6834933.311700001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Corbeil-Essonnes
48.69819697538077,2.1365667170583613;"{""coordinates"": [2.136566717058361, 48.69819697538077], ""type"": ""Point""}";330.0;Gif-sur-Yvette;Gif-sur-Yvette;;;62890.0;Gif-sur-Yvette;47888.0;Gare de Gif-sur-Yvette;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;RATP;1.0;0.0;636455.3480999991;6844575.320500001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gif-sur-Yvette
48.9937134803645,2.234276393983287;"{""coordinates"": [2.234276393983287, 48.9937134803645], ""type"": ""Point""}";291.0;Franconville-Le Plessis-Bouchard;Franconville-Le Plessis-Bouchard;;;66005.0;Franconville - Le Plessis-Bouchard;43126.0;Franconville - Le Plessis-Bouchard;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;643964.7291999981;6877359.278499998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Franconville-Le Plessis-Bouchard
48.810775320859456,2.9537303831019344;"{""coordinates"": [2.953730383101934, 48.810775320859456], ""type"": ""Point""}";340.0;Guérard-la-Celle-sur-Morin;Guérard-la-Celle-sur-Morin;;;67924.0;Guérard - La Celle-sur-Morin;47205.0;Guérard - La Celle-sur-Morin;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01844;C01730;TRAIN P;P;TRAIN P;SNCF;1.0;0.0;696602.0394999981;6856745.9131000005;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e;Guérard-la-Celle-sur-Morin
48.99028999545543,2.161906605592158;"{""coordinates"": [2.161906605592158, 48.99028999545543], ""type"": ""Point""}";346.0;Herblay;Herblay;;;65897.0;Herblay;47603.0;Herblay;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01852;C01739;TRAIN J;J;TRAIN J;SNCF;1.0;0.0;638664.8937000036;6877032.3616;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751;Herblay
