id;name;ligne;terminus;lat;long;links
124;Abbesses;12;0;48.8845942071146;2.337949777055663;"92;213"
372;Assemblée Nationale;12;0;48.86078696260591;2.3209981919540845;"251;190"
251;Concorde;12;0;48.86616711402841;2.323175680856618;"349;372"
334;Convention;12;0;48.83730749366137;2.296630343233871;"118;274"
136;Corentin Celton;12;0;48.82708544797555;2.2794116820504207;"274;63"
85;Falguière;12;0;48.84447014037502;2.317852783041332;"122;353"
120;Front Populaire;12;1;48.90656714505958;2.365920319400959;291
255;Jules Joffrin;12;0;48.89243958956138;2.3446570041286208;"258;92"
92;Lamarck-Caulaincourt;12;0;48.8896740702674;2.3387606491992763;"255;124"
349;Madeleine;12;0;48.870099731927695;2.325164109535879;"315;251"
63;Mairie d'Issy;12;1;48.82410502976808;2.273041525142414;136
258;Marcadet-Poissonniers;12;0;48.891464999404526;2.349815451854586;"346;255"
346;Marx Dormoy;12;0;48.8904854529266;2.3599957664056745;"291;258"
122;Montparnasse Bienvenüe;12;0;48.84373548839769;2.3243530411579667;"34;85"
183;Notre-Dame-de-Lorette;12;0;48.87602621068777;2.3378864890692728;"47;306"
34;Notre-Dame-des-Champs;12;0;48.84494263160585;2.328778026901662;"279;122"
353;Pasteur;12;0;48.8428712740855;2.312447513065986;"85;287"
213;Pigalle;12;0;48.88251938471556;2.337081682514974;"124;47"
274;Porte de Versailles;12;0;48.8324490982225;2.288022141100325;"334;136"
291;Porte de la Chapelle;12;0;48.89724528717232;2.359507868815594;"120;346"
279;Rennes;12;0;48.84845784762095;2.3277821271475343;"105;34"
217;Rue du Bac;12;0;48.85555093924452;2.3257124221709264;"190;105"
47;Saint-Georges;12;0;48.87842525670785;2.337595082820351;"213;183"
315;Saint-Lazare;12;0;48.8754537695411;2.326785200261765;"306;349"
190;Solférino;12;0;48.858511128952976;2.3231548558411075;"372;217"
105;Sèvres-Babylone;12;0;48.85176205157465;2.326822568897496;"217;279"
306;Trinité d'Estienne d'Orves;12;0;48.876317961343695;2.3325430272975227;"183;315"
118;Vaugirard;12;0;48.839516584473685;2.3011075148799884;"287;334"
287;Volontaires;12;0;48.84150552144712;2.3079486793367505;"353;118"
321;Alexandre Dumas;2;0;48.85637735626072;2.394561944560313;"382;238"
71;Anvers;2;0;48.88286864664766;2.344130633722553;"375;324"
238;Avron;2;0;48.85151027724356;2.398302344267162;"321;230"
324;Barbès-Rochechouart;2;0;48.88380394148776;2.350613000688897;"71;127"
8;Belleville;2;0;48.87231011286232;2.3767021447289443;"249;326"
380;Blanche;2;0;48.88395857259599;2.3319265908850406;"100;375"
147;Charles De Gaulle-Étoile;2;0;48.87461392612139;2.295567369745453;"299;214"
249;Colonel Fabien;2;0;48.877610186497066;2.370811395312745;"343;8"
74;Courcelles;2;0;48.87921413332484;2.3035287253701084;"214;27"
326;Couronnes;2;0;48.8690911620042;2.3805425859893425;"8;129"
343;Jaurès;2;0;48.881498594989296;2.3702621266602635;"38;249"
127;La Chapelle;2;0;48.88439879423259;2.360491318526145;"324;38"
27;Monceau;2;0;48.88044945521773;2.3094511679915426;"74;384"
129;Ménilmontant;2;0;48.86680003417724;2.383383250455202;"326;180"
230;Nation;2;1;48.84847428505352;2.3950623054258804;238
382;Philippe Auguste;2;0;48.85846654851294;2.389729852353504;"180;321"
375;Pigalle;2;0;48.882390149751615;2.3372947905674044;"380;71"
100;Place de Clichy;2;0;48.88361499131419;2.3278395561147414;"281;380"
303;Porte Dauphine;2;1;48.87146657720688;2.277083017052586;299
180;Père Lachaise;2;0;48.86265401817275;2.387607288151709;"129;382"
281;Rome;2;0;48.88222689989859;2.321274926766349;"384;100"
38;Stalingrad;2;0;48.88427894336321;2.3658813581698865;"127;343"
214;Ternes;2;0;48.87797270050678;2.298310375124943;"147;74"
299;Victor Hugo;2;0;48.86979855553992;2.285335094686169;"303;147"
384;Villiers;2;0;48.88115002755392;2.315176626220464;"27;281"
236;Alma-Marceau;9;0;48.86476684405098;2.3009910034955845;"169;20"
207;Billancourt;9;0;48.83211055918934;2.2386393485754;"103;345"
224;Bonne Nouvelle;9;0;48.870164199979776;2.350497971863092;"46;220"
11;Buzenval;9;0;48.85181213208116;2.4010222705171427;"2;88"
126;Charonne;9;0;48.85458049816019;2.3855634808228863;"221;233"
82;Chaussée d'Antin - La Fayette;9;0;48.87293765675302;2.3334791318455967;"1;216"
327;Croix de Chavaux;9;0;48.85796559024522;2.4355557156940564;"44;130"
381;Exelmans;9;0;48.84293869494169;2.2600329022124246;"191;172"
20;Franklin D. Roosevelt;9;0;48.86869984643215;2.309505157337887;"236;360"
46;Grands Boulevards;9;0;48.87149773842927;2.3431547730752333;"216;224"
1;Havre-Caumartin;9;0;48.87371340578697;2.3276954096301736;"113;82"
169;Iéna;9;0;48.86479406489478;2.2941620181082314;"379;236"
342;Jasmin;9;0;48.85250408969208;2.2681767494359613;"24;278"
227;La Muette;9;0;48.85804605537121;2.2741546310869194;"278;282"
130;Mairie de Montreuil;9;1;48.86193691321219;2.441310941253408;327
88;Maraîchers;9;0;48.85272511835001;2.406089161879023;"11;37"
345;Marcel Sembat;9;0;48.83370884818311;2.243840592379737;"207;191"
24;Michel Ange-Auteuil;9;0;48.8478956492876;2.2640820307462217;"172;342"
